question_id,claude0_min,claude0_max,claude0_final,claude1_min,claude1_max,claude1_final,claude2_min,claude2_max,claude2_final,claude3_min,claude3_max,claude3_final,claude4_min,claude4_max,claude4_final
26703,17.5,42.75,29.9,18.5,25.75,22.4,12.5,37.75,24.6,12.5,37.5,24.75,12.5,37.5,24.75
26702,45.0,65.0,55.5,30.0,50.0,40.0,55.0,75.0,65.5,65.0,80.0,72.5,45.0,65.0,55.5
26701,85.0,95.0,90.5,85.5,94.75,90.25,75.5,89.9,82.75,75.0,85.0,80.5,75.0,90.0,82.5
26700,85.5,94.7,90.25,85.0,95.0,90.5,85.0,95.0,90.5,85.0,95.0,90.5,90.0,98.5,95.25
26683,55.1,74.3,64.5,55.0,75.0,65.5,55.0,75.0,65.5,45.5,64.3,55.4,55.1,64.9,60.5
26671,10.0,30.0,15.5,15.5,35.75,25.4,10.0,35.0,22.5,35.5,52.75,44.2,25.5,42.75,34.2
26670,55.5,72.3,64.2,45.0,60.0,52.5,45.5,62.75,54.3,55.5,75.3,67.4,35.5,55.75,45.25
26669,5.0,15.0,9.5,5.0,15.0,10.5,15.5,32.75,23.4,5.5,15.75,10.25,5.0,15.0,8.5
26668,97.5,99.9,98.75,94.5,99.9,97.75,94.5,98.75,96.85,96.5,99.9,98.75,95.0,99.9,97.5
26667,3.5,12.75,7.25,3.5,12.75,7.25,3.5,7.5,5.25,3.5,12.75,7.25,5.0,15.0,8.75
26666,27.5,42.75,35.4,12.5,22.75,17.35,15.5,32.75,24.3,12.5,27.5,18.75,12.5,37.75,25.4
26665,3.5,12.75,6.85,3.5,12.75,7.25,7.5,22.5,12.75,3.5,7.2,5.4,5.0,15.0,8.5
26646,62.5,77.5,70.25,62.5,77.3,71.4,42.5,57.5,50.25,35.5,47.75,41.6,22.5,37.8,29.9
26645,15.5,32.75,23.4,35.5,48.75,42.3,12.5,27.5,18.75,25.5,42.75,33.4,2.5,7.5,4.75
26644,10.0,35.0,22.5,45.0,65.0,55.5,25.5,42.75,34.2,15.0,35.0,25.5,35.5,52.7,44.3
26643,40.5,62.75,51.25,1.5,3.5,2.5,40.5,62.75,51.33,15.0,35.0,25.5,55.5,74.3,67.4
26642,85.5,94.7,90.25,35.0,65.0,47.5,35.5,62.75,48.9,65.5,82.75,74.3,45.5,62.75,54.3
26641,40.0,60.0,50.0,60.0,85.0,72.5,70.0,85.0,78.5,40.5,59.75,49.9,35.5,65.4,47.25
26640,35.5,62.75,48.9,55.5,75.3,67.2,15.0,35.0,25.5,25.5,42.75,34.6,35.5,52.75,44.25
26639,52.3,72.45,62.75,35.0,55.0,45.5,55.5,72.3,64.75,65.5,84.75,74.33,65.5,82.25,73.8
26638,22.1,37.45,29.8,35.5,45.75,40.25,22.5,37.75,30.4,22.5,37.75,30.25,12.5,27.75,18.4
26577,5.0,25.0,15.5,5.0,25.0,12.5,15.5,35.75,25.4,15.5,45.75,28.9,10.5,35.75,22.4
26576,35.5,72.3,54.7,22.5,35.75,29.4,35.5,78.3,57.2,35.5,78.25,57.4,48.5,71.75,59.9
26575,45.5,68.3,56.75,15.5,19.9,17.7,16.5,21.5,19.25,15.5,19.75,17.6,15.5,22.3,18.75
26573,22.5,37.5,30.25,5.0,25.0,12.5,5.0,25.0,15.0,15.0,35.0,25.5,15.0,35.0,25.5
26572,20.0,30.0,25.0,20.0,30.0,25.0,20.0,30.0,25.0,20.0,35.0,27.5,20.0,30.0,25.0
26571,3.5,7.5,5.5,4.5,12.75,8.25,35.0,65.0,47.5,5.5,25.5,15.5,3.5,12.75,7.25
26570,3.0,15.0,7.5,35.0,65.0,47.5,3.5,7.5,5.5,3.0,12.5,7.25,3.0,12.0,7.5
26569,65.5,84.3,75.4,72.5,89.9,83.4,75.5,89.9,82.7,75.5,89.9,82.7,70.5,89.9,82.3
26568,85.5,94.75,91.3,84.5,95.75,91.25,75.5,89.9,82.3,85.5,94.75,91.25,82.5,94.3,89.75
26555,60.0,85.0,72.5,65.5,84.75,76.25,75.5,92.3,85.4,55.0,75.0,65.5,40.5,59.5,49.75
26554,15.5,29.9,22.7,15.5,35.7,24.6,35.5,52.4,44.3,22.5,37.8,29.9,35.5,62.3,48.75
26553,5.5,15.5,9.9,7.5,22.5,15.25,10.0,25.0,15.5,15.0,35.0,25.5,15.5,35.75,25.4
26552,3.5,7.2,5.4,25.5,42.75,34.2,15.5,28.75,22.4,15.0,25.5,20.25,3.5,8.75,6.25
26551,35.5,52.75,44.25,45.5,62.75,54.3,42.5,57.5,49.75,42.5,57.75,49.9,65.5,82.3,73.75
26408,40.5,62.75,51.2,45.5,64.75,55.2,40.5,62.75,51.3,40.5,62.75,51.25,47.5,62.75,55.6
26407,35.5,62.75,48.9,12.5,27.75,18.35,22.5,47.75,35.6,25.5,55.75,42.3,35.5,62.75,48.9
26406,22.0,38.0,29.5,35.0,65.0,47.5,25.0,45.0,35.5,15.0,45.0,30.0,35.0,65.0,47.5
26405,65.5,84.75,76.25,65.5,84.75,75.25,65.5,82.3,74.2,72.5,82.3,77.4,65.5,84.3,75.4
26404,82.5,94.75,88.9,82.5,94.75,89.5,85.5,94.75,91.25,65.5,84.3,75.4,82.5,95.75,89.25
26392,35.5,62.75,48.9,35.5,62.75,48.9,22.45,37.65,29.9,40.5,62.75,51.3,35.5,62.3,48.75
26391,47.5,62.75,55.4,42.5,62.75,55.6,37.5,62.5,47.25,37.5,62.5,49.75,45.5,62.3,53.75
26390,22.5,42.75,32.4,32.5,47.75,42.25,35.5,47.75,41.65,22.5,37.8,30.25,35.5,52.75,44.2
26389,87.5,95.75,92.3,85.5,94.75,91.25,85.5,94.75,91.25,87.5,94.75,91.3,87.5,96.75,92.3
26388,22.5,37.8,29.9,17.5,27.5,22.75,22.5,37.75,30.25,15.5,28.75,22.4,17.5,28.75,22.9
26387,55.5,78.3,67.4,44.0,62.5,53.75,55.5,75.4,67.3,44.5,55.5,50.25,41.0,65.5,53.25
26307,4.1,4.3,4.2,4.2,4.4,4.3,4.1,4.3,4.2,41.5,58.7,52.3,4.1,4.3,4.2
26306,72.5,88.75,81.25,65.5,82.3,74.2,62.5,77.5,70.25,72.5,85.4,79.2,72.5,85.4,79.2
26305,25.1,42.5,33.75,15.5,35.75,25.3,15.5,27.8,22.4,45.0,65.0,55.5,35.5,62.75,48.9
26304,35.5,52.75,44.25,35.5,47.75,42.3,22.5,37.8,30.45,35.5,62.75,48.9,35.5,52.75,44.25
26303,35.4,52.7,44.3,47.5,62.3,54.75,35.5,52.75,44.2,35.5,52.75,44.25,16.5,22.75,18.9
26302,4.5,8.75,6.25,17.5,32.75,24.6,14.5,18.75,16.33,22.5,37.75,29.9,0.5,2.5,1.5
26236,20.5,27.8,24.3,55.5,74.3,67.2,45.5,68.75,57.25,45.5,62.75,54.3,68.5,82.3,75.4
26235,70.0,90.0,82.5,70.5,89.75,82.33,70.0,90.0,82.5,65.5,84.3,75.4,65.0,85.0,75.0
26234,7.5,22.5,15.25,27.5,37.9,32.75,7.5,22.5,15.3,7.5,22.75,15.4,7.5,22.5,15.3
26233,72.5,82.3,77.4,85.5,94.5,91.25,87.5,95.75,92.35,92.5,97.75,95.25,87.5,95.75,92.5
26232,5.0,15.0,8.5,1.5,7.5,3.25,1.5,4.5,2.75,7.5,17.5,12.75,0.1,2.5,0.75
26216,15.0,35.0,25.5,15.5,28.75,22.33,15.0,35.0,25.5,35.0,55.0,45.5,35.0,55.0,45.5
26215,0.5,3.5,1.75,3.5,8.75,5.25,1.5,4.75,2.85,0.1,1.0,0.5,2.5,5.5,3.75
26214,65.0,85.0,75.0,55.0,75.0,65.5,65.5,89.75,78.25,45.5,72.3,58.4,55.5,80.75,68.25
26213,30.5,65.75,48.25,35.5,64.75,52.3,10.0,30.0,20.5,71.5,89.75,82.3,40.0,65.0,52.5
26212,65.5,84.3,76.2,65.0,85.0,75.5,75.5,92.3,84.7,82.5,94.75,89.5,65.5,84.3,75.4
26211,55.5,75.3,67.4,65.5,82.3,74.2,45.0,65.0,55.5,65.5,84.3,75.25,65.5,84.3,75.4
26196,45.5,72.3,58.75,55.5,76.4,68.75,35.5,64.7,48.3,65.0,85.0,75.5,55.5,72.3,64.2
26195,70.0,85.0,77.5,65.5,84.3,76.4,65.5,82.3,74.2,65.0,85.0,76.5,65.0,85.0,75.5
26194,75.0,90.0,82.5,72.5,89.9,81.25,75.5,92.3,86.4,70.0,90.0,82.5,65.0,80.0,72.5
26193,85.5,96.75,91.25,87.5,94.3,91.4,87.5,95.25,92.4,85.5,94.75,90.25,87.5,95.75,92.25
26192,45.5,59.9,52.75,25.1,45.75,35.4,65.5,79.9,72.75,55.5,75.8,67.25,45.5,62.75,54.3
26191,7.5,22.3,15.4,15.5,29.75,22.4,5.0,15.5,8.75,10.5,25.3,17.4,15.5,37.8,26.7
26189,75.5,89.9,82.75,70.0,85.0,77.5,85.0,95.0,90.5,80.0,95.0,87.5,72.5,87.5,80.25
26159,37.5,45.75,41.25,45.5,62.3,53.7,45.0,65.0,55.5,35.0,55.0,45.5,35.0,55.0,45.5
26158,45.0,65.0,55.5,45.0,65.0,55.5,35.5,62.75,48.9,45.0,65.0,55.5,55.0,75.0,65.5
26157,55.0,75.0,65.5,45.5,64.3,54.7,35.5,52.75,44.3,35.5,62.75,48.9,45.0,65.0,55.5
26140,3.5,12.75,7.25,3.5,12.75,7.25,12.5,27.75,18.9,1.5,4.75,2.85,3.5,12.75,7.25
26139,55.0,80.0,67.5,60.5,72.3,66.75,55.5,75.4,67.25,35.5,62.7,48.9,55.0,70.0,62.5
26138,65.0,80.0,72.5,45.5,54.7,50.25,75.0,90.0,82.5,55.0,75.0,65.5,55.0,75.0,65.5
26134,82.5,94.75,88.9,72.5,89.9,81.25,75.5,92.3,83.4,85.0,95.0,90.5,78.5,92.3,85.75
26133,82.5,92.3,87.4,55.5,72.3,64.75,65.5,74.8,70.25,45.5,62.3,54.75,40.5,59.75,49.25
26102,80.0,95.0,87.5,82.5,92.5,87.75,87.5,95.25,92.75,60.0,90.0,75.5,65.5,84.75,75.25
26101,5.5,17.9,11.2,5.5,17.9,11.2,15.5,32.75,24.3,2.5,7.5,4.75,2.5,7.5,4.75
26100,12.5,22.5,17.25,12.5,27.5,18.75,15.5,28.75,22.4,8.5,15.75,11.25,8.5,22.7,15.4
26099,0.1,1.5,0.4,0.5,2.5,1.2,0.5,2.5,1.25,1.5,5.5,3.2,0.5,2.5,1.2
26098,15.0,25.0,19.5,35.5,62.75,49.15,35.5,52.75,44.25,65.5,84.75,75.25,35.45,62.73,48.5
26097,15.0,25.0,20.5,35.5,62.4,48.75,5.0,15.0,10.0,15.5,35.7,25.6,15.0,25.0,20.0
26096,35.0,45.0,40.5,15.5,25.75,20.45,35.45,62.73,48.55,35.5,47.2,41.35,5.0,15.0,10.0
26095,5.5,15.75,10.25,1.0,5.0,2.5,1.5,7.5,3.75,5.5,18.75,12.25,5.5,15.75,9.25
26024,75.5,88.75,82.3,82.5,94.75,89.25,75.5,89.9,82.25,65.5,85.75,76.25,75.5,89.9,82.25
26023,12.5,27.75,18.45,17.5,32.75,24.6,35.5,62.75,48.9,12.5,27.3,18.75,7.5,17.5,12.3
26022,45.0,65.0,55.5,1.0,5.0,2.5,65.5,82.3,73.9,65.5,82.3,74.2,65.5,82.3,74.7
26021,12.5,22.5,17.5,15.5,27.8,22.4,25.1,35.9,30.5,12.5,22.5,17.5,22.0,35.5,28.75
26020,65.0,85.0,75.5,70.0,85.0,78.5,68.5,73.5,71.25,45.0,65.0,55.5,55.0,75.0,65.5
26019,55.5,75.3,67.4,35.5,47.25,42.4,35.5,62.75,48.9,35.5,62.4,48.75,45.5,68.75,57.3
26018,35.5,48.75,42.3,35.5,52.75,44.2,15.5,32.75,24.3,40.5,55.25,47.85,35.5,52.75,44.25
26017,35.5,62.75,48.9,35.5,62.4,48.75,42.5,67.5,57.75,35.5,46.75,41.25,35.5,62.75,48.9
26006,65.0,85.0,75.5,65.0,85.0,75.5,65.0,85.0,75.5,45.0,65.0,55.5,35.0,65.0,47.5
26005,55.0,75.0,65.5,35.0,65.0,47.5,35.0,50.0,42.5,35.0,55.0,45.5,25.0,45.0,35.5
26004,40.0,65.0,52.5,35.0,55.0,45.5,35.0,55.0,45.5,35.0,47.0,41.5,35.0,55.0,45.5
25960,2.5,7.5,4.75,3.5,12.75,7.25,3.5,12.75,7.25,3.5,12.75,7.25,2.5,7.5,4.75
25959,2.5,5.5,3.75,5.0,15.0,8.5,5.0,15.0,8.5,10.5,25.75,18.25,5.0,15.0,8.5
25958,35.5,48.75,42.25,35.5,45.75,40.25,35.5,47.8,41.75,35.5,49.75,42.3,25.5,42.75,35.4
25957,75.5,89.9,82.7,65.5,87.3,76.4,70.5,85.75,78.25,72.5,84.3,79.75,67.5,82.3,75.4
25956,3.5,12.75,7.25,12.5,27.75,18.35,7.5,22.5,15.3,3.5,12.75,7.25,7.5,22.5,15.35
25955,3.5,7.2,5.4,7.5,22.3,14.75,15.5,35.75,24.3,2.5,7.5,5.25,3.5,8.75,6.25
25954,35.5,52.4,44.25,35.5,62.75,48.9,45.5,68.75,57.25,55.5,74.3,68.75,10.0,25.0,17.5
25953,15.0,35.0,25.5,40.5,62.3,51.75,55.0,75.0,67.5,35.0,55.0,42.75,35.5,62.75,48.9
25952,35.5,62.4,48.75,55.5,72.3,63.4,20.0,40.0,29.5,45.5,62.3,53.75,45.5,62.7,54.3
25936,45.5,62.75,54.3,42.5,57.6,49.85,47.5,62.3,54.75,45.5,65.75,55.25,22.5,42.75,32.6
25935,45.5,62.3,53.75,35.5,62.75,48.9,35.5,62.75,48.9,35.5,62.75,48.9,37.5,62.5,49.75
25934,12.5,27.75,18.35,3.5,12.75,7.25,22.5,32.75,27.6,12.5,22.5,17.5,7.5,22.4,15.3
25933,52.0,68.5,60.75,40.0,65.0,52.5,42.5,57.5,50.25,45.0,65.0,55.5,45.5,67.3,56.4
25875,3.5,12.7,7.4,12.5,22.5,17.75,7.5,16.25,11.75,7.5,15.25,11.33,5.5,19.9,12.4
25874,15.0,35.0,25.5,5.0,15.0,9.5,70.0,80.0,75.5,10.0,25.0,15.5,20.0,45.0,32.5
25873,70.5,89.75,82.33,65.5,84.3,76.4,67.5,82.3,75.4,67.5,82.3,75.4,75.0,90.0,82.5
25872,42.5,57.5,49.9,32.1,38.5,35.75,55.5,72.3,64.2,52.5,67.4,59.75,52.3,67.45,59.8
25871,65.0,85.0,75.5,82.5,94.3,89.4,55.5,75.3,67.2,55.0,75.0,65.5,70.0,90.0,82.5
