question_id,gpt0_final,gpt0_conf,gpt1_final,gpt1_conf,gpt2_final,gpt2_conf,gpt3_final,gpt3_conf,gpt4_final,gpt4_conf
25955,30.0,70.0,22.5,75.5,35.0,60.0,35.0,80.0,25.0,80.0
25954,65.0,75.0,15.0,85.0,15.0,85.0,25.0,75.0,20.0,80.0
25953,65.0,70.0,35.0,85.0,65.0,70.0,60.0,75.0,65.0,80.0
25952,55.0,70.0,50.0,60.0,60.0,85.0,65.0,80.0,55.0,70.0
25936,70.0,75.0,65.0,85.0,65.0,75.0,65.0,80.0,42.5,75.0
25935,35.0,60.0,20.0,75.0,45.0,75.0,45.0,50.0,47.5,70.0
25934,5.0,90.0,5.0,90.0,5.0,90.0,10.0,90.0,5.0,95.0
25933,60.0,70.0,65.0,70.0,57.5,80.0,55.0,55.0,55.0,70.0
25875,5.0,90.0,5.0,95.0,5.0,95.0,5.0,94.0,2.0,97.0
25874,15.0,85.0,80.0,90.0,25.0,75.0,20.0,80.0,20.0,80.0
25873,85.0,75.0,65.0,75.0,75.0,85.0,85.0,85.0,65.0,80.0
25872,35.0,68.0,38.0,75.0,45.0,54.0,38.0,80.0,45.0,70.0
25871,68.0,85.0,65.0,70.0,67.5,72.0,75.0,85.0,78.0,80.0
